id,nama_wisata,kategori,kota,alamat,deskripsi,gambar,fitur,fitur_bersih,latitude,longitude,jam_buka,jam_tutup,rating,telepon,website,harga_tiket,sumber_data,tanggal_verifikasi
22,Tiara Waterpark,Rekreasi,Jember,"Jalan Kaliurang, Sumbersari, Krajan Barat, Sumbersari, Jl. Kaliurang No.158, Krajan Barat, Tegalgede, Kabupaten Jember, Jawa Timur 68124","Tiara Waterpark adalah taman air modern di kota Jember dengan kolam renang, seluncuran air, area bermain air, serta fasilitas pendukung seperti food court dan area parkir. Cocok sebagai destinasi keluarga dan hiburan air di dalam kota.",assets/images/22.png,"Tiara Waterpark Rekreasi Rekreasi Jember Jalan Kaliurang, Sumbersari, Krajan Barat, Sumbersari, Jl. Kaliurang No.158, Krajan Barat, Tegalgede, Kabupaten Jember, Jawa Timur 68124 Tiara Waterpark adalah taman air modern di kota Jember dengan kolam renang, seluncuran air, area bermain air, serta fasilitas pendukung seperti food court dan area parkir. Cocok sebagai destinasi keluarga dan hiburan air di dalam kota.",tiara waterpark rekreasi rekreasi jember jalan kaliurang sumbersari krajan barat sumbersari jl kaliurang no krajan barat tegalgede kabupaten jember jawa timur tiara waterpark taman air modern kota jember kolam renang seluncuran air area bermain air fasilitas pendukung food court area parkir cocok sebagai destinasi keluarga hiburan air dalam kota,-8.1542,113.6822,08:00,17:00,[Unverified],[Unverified],[Unverified],Rp 25.000,Google Maps,2026-07-20
23,Pantai Nanggelan,Pantai,Jember,"Jalan Cangak Indah, Curahnongko, Tempurejo, Area Hutan, Curahnongko, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173","Pantai Nanggelan adalah pantai alam dengan suasana tenang, pasir, ombak lembut, dan latar hutan atau tebing. Tempat ini cocok bagi wisatawan yang ingin menikmati pantai tanpa keramaian, berjalan pantai, atau sekadar menyatu dengan alam.",assets/images/23.png,"Pantai Nanggelan Pantai Pantai Jember Jalan Cangak Indah, Curahnongko, Tempurejo, Area Hutan, Curahnongko, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173 Pantai Nanggelan adalah pantai alam dengan suasana tenang, pasir, ombak lembut, dan latar hutan atau tebing. Tempat ini cocok bagi wisatawan yang ingin menikmati pantai tanpa keramaian, berjalan pantai, atau sekadar menyatu dengan alam.",pantai nanggelan pantai pantai jember jalan cangak indah curahnongko tempurejo area hutan curahnongko kec tempurejo kabupaten jember jawa timur pantai nanggelan pantai alam suasana tenang pasir ombak lembut latar hutan tebing tempat cocok wisatawan ingin menikmati pantai tanpa keramaian berjalan pantai sekadar menyatu alam,-8.4358,113.6143,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20
24,Air Terjun 7 Bidadari,Air Terjun,Jember,"Dusun, Gardu Utara, Rowosari, Kec. Sumberjambe, Kabupaten Jember, Jawa Timur 68195","Air Terjun 7 Bidadari adalah air terjun bertingkat yang memukau di Sumberjambe, Jember. Nama “7 Bidadari” memberi kesan magis, pengunjung bisa menikmati beberapa aliran air di tiap tingkatan, spot foto, dan panorama alam sekitarnya.",assets/images/24.png,"Air Terjun 7 Bidadari Air Terjun Air Terjun Jember Dusun, Gardu Utara, Rowosari, Kec. Sumberjambe, Kabupaten Jember, Jawa Timur 68195 Air Terjun 7 Bidadari adalah air terjun bertingkat yang memukau di Sumberjambe, Jember. Nama “7 Bidadari” memberi kesan magis, pengunjung bisa menikmati beberapa aliran air di tiap tingkatan, spot foto, dan panorama alam sekitarnya.",air terjun bidadari air terjun air terjun jember dusun gardu utara rowosari kec sumberjambe kabupaten jember jawa timur air terjun bidadari air terjun bertingkat memukau sumberjambe jember nama bidadari memberi kesan magis pengunjung bisa menikmati aliran air tiap tingkatan spot foto panorama alam sekitarnya,-8.1129,113.782,07:00,16:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
25,Pantai Paseban,Pantai,Jember,"Paseban, Kec. Kencong, Kabupaten Jember, Jawa Timur","Pantai Paseban adalah pantai alami di wilayah Kencong dengan panorama laut, batu karang, dan suasana tenang. Karena posisinya mungkin agak jauh dari pusat, tempat ini ideal bagi mereka yang mencari ketenangan pantai.",assets/images/25.png,"Pantai Paseban Pantai Pantai Jember Paseban, Kec. Kencong, Kabupaten Jember, Jawa Timur Pantai Paseban adalah pantai alami di wilayah Kencong dengan panorama laut, batu karang, dan suasana tenang. Karena posisinya mungkin agak jauh dari pusat, tempat ini ideal bagi mereka yang mencari ketenangan pantai.",pantai paseban pantai pantai jember paseban kec kencong kabupaten jember jawa timur pantai paseban pantai alami wilayah kencong panorama laut batu karang suasana tenang posisinya mungkin jauh pusat tempat ideal mereka mencari ketenangan pantai,-8.3582,113.3444,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
26,Pantai Bandealit,Pantai,Jember,"Area Hutan, Andongrejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173","Pantai Bandealit adalah pantai di kawasan Taman Nasional Meru Betiri yang menawarkan pasir putih, laut jernih, dan vegetasi pantai seperti mangrove. Aktivitas snorkeling, berjalan pantai, atau eksplorasi pesisir sangat cocok di sini.",assets/images/26.png,"Pantai Bandealit Pantai Pantai Jember Area Hutan, Andongrejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173 Pantai Bandealit adalah pantai di kawasan Taman Nasional Meru Betiri yang menawarkan pasir putih, laut jernih, dan vegetasi pantai seperti mangrove. Aktivitas snorkeling, berjalan pantai, atau eksplorasi pesisir sangat cocok di sini.",pantai bandealit pantai pantai jember area hutan andongrejo kec tempurejo kabupaten jember jawa timur pantai bandealit pantai kawasan taman nasional meru betiri menawarkan pasir putih laut jernih vegetasi pantai mangrove aktivitas snorkeling berjalan pantai eksplorasi pesisir sangat cocok sini,-8.4411,113.7547,07:00,16:00,[Unverified],[Unverified],[Unverified],Rp 15.000,TN Meru Betiri,2026-07-20
27,Dira Park Ambulu,Rekreasi,Jember,"Jl. Kota Blater No.KM.4, Watukebo, Andongsari, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68172","Dira Park Ambulu adalah area rekreasi keluarga di Ambulu dengan taman, playground, jalur jalan santai, mungkin kolam atau elemen air, dan suasana hijau. Cocok sebagai destinasi lokal untuk warga sekitar dan wisatawan.",assets/images/27.png,"Dira Park Ambulu Rekreasi Rekreasi Jember Jl. Kota Blater No.KM.4, Watukebo, Andongsari, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68172 Dira Park Ambulu adalah area rekreasi keluarga di Ambulu dengan taman, playground, jalur jalan santai, mungkin kolam atau elemen air, dan suasana hijau. Cocok sebagai destinasi lokal untuk warga sekitar dan wisatawan.",dira park ambulu rekreasi rekreasi jember jl kota blater no km watukebo andongsari kec ambulu kabupaten jember jawa timur dira park ambulu area rekreasi keluarga ambulu taman playground jalur jalan santai mungkin kolam elemen air suasana hijau cocok sebagai destinasi lokal warga sekitar wisatawan,-8.337,113.616,08:00,22:00,[Unverified],[Unverified],[Unverified],Rp 15.000,Situs Resmi Dira,2026-07-20
28,Dira Park Balung,Rekreasi,Jember,"PG9H+9JG, Jl. Lumajang - Jember, Krajan Lor, Balung Kulon, Kec. Balung, Kabupaten Jember, Jawa Timur 68161","Dira Park Balung adalah taman rekreasi di Balung yang menghadirkan area terbuka, area bermain, dan pemandangan alam sekitar cocok untuk piknik, jalan santai bersama keluarga, dan refreshing.",assets/images/28.png,"Dira Park Balung Rekreasi Rekreasi Jember PG9H+9JG, Jl. Lumajang - Jember, Krajan Lor, Balung Kulon, Kec. Balung, Kabupaten Jember, Jawa Timur 68161 Dira Park Balung adalah taman rekreasi di Balung yang menghadirkan area terbuka, area bermain, dan pemandangan alam sekitar cocok untuk piknik, jalan santai bersama keluarga, dan refreshing.",dira park balung rekreasi rekreasi jember pg jg jl lumajang jember krajan lor balung kulon kec balung kabupaten jember jawa timur dira park balung taman rekreasi balung menghadirkan area terbuka area bermain pemandangan alam sekitar cocok piknik jalan santai bersama keluarga refreshing,-8.2721,113.5289,08:00,22:00,[Unverified],[Unverified],[Unverified],Rp 15.000,Situs Resmi Dira,2026-07-20
29,Dira Park Kencong,Rekreasi,Jember,"Jl. Krakatau No.93, Pd. Waluh, Kencong, Kec. Kencong, Kabupaten Jember, Jawa Timur 68167","Dira Park Kencong adalah taman kota atau ruang publik di Kencong dengan area hijau, jalur berjalan, dan fasilitas sederhana untuk rekreasi kota atau keluarga.",assets/images/29.png,"Dira Park Kencong Rekreasi Rekreasi Jember Jl. Krakatau No.93, Pd. Waluh, Kencong, Kec. Kencong, Kabupaten Jember, Jawa Timur 68167 Dira Park Kencong adalah taman kota atau ruang publik di Kencong dengan area hijau, jalur berjalan, dan fasilitas sederhana untuk rekreasi kota atau keluarga.",dira park kencong rekreasi rekreasi jember jl krakatau no pd waluh kencong kec kencong kabupaten jember jawa timur dira park kencong taman kota ruang publik kencong area hijau jalur berjalan fasilitas sederhana rekreasi kota keluarga,-8.2612,113.3662,08:00,22:00,[Unverified],[Unverified],[Unverified],Rp 15.000,Situs Resmi Dira,2026-07-20
30,Rest Area Gumitir,Rekreasi,Jember,"Jl. Raya Jember-Banyuwangi No.KM.39, Curah Damar, Sidomulyo, Kec. Silo, Kabupaten Jember, Jawa Timur 68184","Rest Area Gumitir adalah tempat istirahat di jalur Jember–Banyuwangi, dengan fasilitas tukar istirahat, pemandangan alam, area parkir, dan mungkin warung atau fasilitas pendukung untuk pelancong yang lewat.",assets/images/30.png,"Rest Area Gumitir Rekreasi Rekreasi Jember Jl. Raya Jember-Banyuwangi No.KM.39, Curah Damar, Sidomulyo, Kec. Silo, Kabupaten Jember, Jawa Timur 68184 Rest Area Gumitir adalah tempat istirahat di jalur Jember–Banyuwangi, dengan fasilitas tukar istirahat, pemandangan alam, area parkir, dan mungkin warung atau fasilitas pendukung untuk pelancong yang lewat.",rest area gumitir rekreasi rekreasi jember jl raya jember banyuwangi no km curah damar sidomulyo kec silo kabupaten jember jawa timur rest area gumitir tempat istirahat jalur jember banyuwangi fasilitas tukar istirahat pemandangan alam area parkir mungkin warung fasilitas pendukung pelancong lewat,-8.2435,113.9181,08:00,21:00,[Unverified],[Unverified],[Unverified],Rp 0,Google Maps,2026-07-20
31,Situs Duplang,Situs,Jember,"Duplang, Kamal, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191","Situs Duplang adalah situs sejarah atau arkeologi di Kecamatan Arjasa yang menyimpan jejak masa lampau — bisa berupa prasasti, bangunan kuno, atau artefak lokal. Tempat ini cocok untuk edukasi heritage dan wisata sejarah.",assets/images/31.png,"Situs Duplang Situs Situs Jember Duplang, Kamal, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191 Situs Duplang adalah situs sejarah atau arkeologi di Kecamatan Arjasa yang menyimpan jejak masa lampau — bisa berupa prasasti, bangunan kuno, atau artefak lokal. Tempat ini cocok untuk edukasi heritage dan wisata sejarah.",situs duplang situs situs jember duplang kamal kec arjasa kabupaten jember jawa timur situs duplang situs sejarah arkeologi kecamatan arjasa menyimpan jejak masa lampau bisa berupa prasasti bangunan kuno artefak lokal tempat cocok edukasi heritage wisata sejarah,-8.1105,113.7126,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 0,Google Maps,2026-07-20
32,Sendang Tirta Amerta Rajasa,Situs,Jember,"Bendelan, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191","Sendang Tirta Amerta Rajasa adalah tempat sumber air suci atau sendang (mata air) yang menyimpan makna religius dan tradisi lokal. Pengunjung bisa berziarah, menikmati suasana tenang, dan belajar nilai budaya lokal.",assets/images/32.png,"Sendang Tirta Amerta Rajasa Situs Situs Jember Bendelan, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191 Sendang Tirta Amerta Rajasa adalah tempat sumber air suci atau sendang (mata air) yang menyimpan makna religius dan tradisi lokal. Pengunjung bisa berziarah, menikmati suasana tenang, dan belajar nilai budaya lokal.",sendang tirta amerta rajasa situs situs jember bendelan arjasa kec arjasa kabupaten jember jawa timur sendang tirta amerta rajasa tempat sumber air suci sendang mata air menyimpan makna religius tradisi lokal pengunjung bisa berziarah menikmati suasana tenang belajar nilai budaya lokal,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified]
33,Situs Calok,Situs,Jember,"Padukuhan Salak, Calok, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191","Situs Calok adalah lokasi bersejarah di Arjasa yang mungkin memiliki struktur kuno, artefak, atau peninggalan budaya. Tempat ini menarik bagi yang ingin menjelajah aspek sejarah dan arkeologi lokal.",assets/images/33.png,"Situs Calok Situs Situs Jember Padukuhan Salak, Calok, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191 Situs Calok adalah lokasi bersejarah di Arjasa yang mungkin memiliki struktur kuno, artefak, atau peninggalan budaya. Tempat ini menarik bagi yang ingin menjelajah aspek sejarah dan arkeologi lokal.",situs calok situs situs jember padukuhan salak calok arjasa kec arjasa kabupaten jember jawa timur situs calok lokasi bersejarah arjasa mungkin memiliki struktur kuno artefak peninggalan budaya tempat menarik ingin menjelajah aspek sejarah arkeologi lokal,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified]
34,Watu Gong,Situs,Jember,"Jl. Airlangga No.17, Gudang Rejo, Rambipuji, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68152",Watu Gong adalah situs batu khas di Rambipuji yang mungkin memiliki bentuk atau legenda lokal unik sering dikaitkan dengan budaya lokal atau cerita rakyat. Daya tariknya terletak pada batu besar dan cerita di baliknya.,assets/images/34.png,"Watu Gong Situs Situs Jember Jl. Airlangga No.17, Gudang Rejo, Rambipuji, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68152 Watu Gong adalah situs batu khas di Rambipuji yang mungkin memiliki bentuk atau legenda lokal unik sering dikaitkan dengan budaya lokal atau cerita rakyat. Daya tariknya terletak pada batu besar dan cerita di baliknya.",watu gong situs situs jember jl airlangga no gudang rejo rambipuji kec rambipuji kabupaten jember jawa timur watu gong situs batu khas rambipuji mungkin memiliki bentuk legenda lokal unik sering dikaitkan budaya lokal cerita rakyat daya tariknya terletak pada batu besar cerita baliknya,-8.1215,113.7258,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 0,Google Maps,2026-07-20
35,Candi Deres,Situs,Jember,"Krajan, Purwoasri, Kec. Gumukmas, Kabupaten Jember, Jawa Timur 68165","Candi Deres adalah situs candi atau reruntuhan kuno di Gumukmas, Jember. Tempat ini menawarkan nuansa sejarah, arsitektur kuno, dan kesempatan eksplorasi situs peninggalan masa lampau.",assets/images/35.png,"Candi Deres Situs Situs Jember Krajan, Purwoasri, Kec. Gumukmas, Kabupaten Jember, Jawa Timur 68165 Candi Deres adalah situs candi atau reruntuhan kuno di Gumukmas, Jember. Tempat ini menawarkan nuansa sejarah, arsitektur kuno, dan kesempatan eksplorasi situs peninggalan masa lampau.",candi deres situs situs jember krajan purwoasri kec gumukmas kabupaten jember jawa timur candi deres situs candi reruntuhan kuno gumukmas jember tempat menawarkan nuansa sejarah arsitektur kuno kesempatan eksplorasi situs peninggalan masa lampau,-8.2323,113.3855,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 0,Google Maps,2026-07-20
36,Air Terjun Anugerah,Air Terjun,Jember,"Gendir, Klungkung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151","Air Terjun Anugerah adalah air terjun tersembunyi di Sukorambi yang menawarkan keindahan alam, trek alam, dan suasana damai. Pengunjung bisa merasakan alam yang masih asri dan segar.",assets/images/36.png,"Air Terjun Anugerah Air Terjun Air Terjun Jember Gendir, Klungkung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151 Air Terjun Anugerah adalah air terjun tersembunyi di Sukorambi yang menawarkan keindahan alam, trek alam, dan suasana damai. Pengunjung bisa merasakan alam yang masih asri dan segar.",air terjun anugerah air terjun air terjun jember gendir klungkung kec sukorambi kabupaten jember jawa timur air terjun anugerah air terjun tersembunyi sukorambi menawarkan keindahan alam trek alam suasana damai pengunjung bisa merasakan alam asri segar,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified]
37,Gumuk Watu,Rekreasi,Jember,"Dusun Dukuh, Dukuh Dempok, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162","Gumuk Watu adalah formasi bukit pasir atau bukit batu di Dukuh Dempok, Wuluhan, Jember. Tempat ini cocok untuk petualangan alam, foto estetik, dan eksplorasi pemandangan gurun kecil di tengah suasana alam tropis.",assets/images/37.png,"Gumuk Watu Rekreasi Rekreasi Jember Dusun Dukuh, Dukuh Dempok, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162 Gumuk Watu adalah formasi bukit pasir atau bukit batu di Dukuh Dempok, Wuluhan, Jember. Tempat ini cocok untuk petualangan alam, foto estetik, dan eksplorasi pemandangan gurun kecil di tengah suasana alam tropis.",gumuk watu rekreasi rekreasi jember dusun dukuh dukuh dempok kec wuluhan kabupaten jember jawa timur gumuk watu formasi bukit pasir bukit batu dukuh dempok wuluhan jember tempat cocok petualangan alam foto estetik eksplorasi pemandangan gurun kecil tengah suasana alam tropis,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified]
38,Gading Sari,Agrowisata,Jember,"Perumahan Taman Gading, Tumpengsari, Tegal Besar, Kaliwates, Jember Regency, East Java 68131","Gading Sari adalah kawasan agrowisata atau area hijau di Tumpengsari, Jember. Bisa mencakup kebun tanaman, area hijau terbuka, dan spot foto menarik.",assets/images/38.png,"Gading Sari Agrowisata Agrowisata Jember Perumahan Taman Gading, Tumpengsari, Tegal Besar, Kaliwates, Jember Regency, East Java 68131 Gading Sari adalah kawasan agrowisata atau area hijau di Tumpengsari, Jember. Bisa mencakup kebun tanaman, area hijau terbuka, dan spot foto menarik.",gading sari agrowisata agrowisata jember perumahan taman gading tumpengsari tegal besar kaliwates jember regency east java gading sari kawasan agrowisata area hijau tumpengsari jember bisa mencakup kebun tanaman area hijau terbuka spot foto menarik,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified]
39,Boma Gunung Pasang,Agrowisata,Jember,"Afdeling Boma Gunung Pasang, Argopuro, Guplek, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153","Boma Gunung Pasang adalah lahan agrowisata di lereng Argopuro, Panti, Jember. Pengunjung dapat menjelajah kebun tanaman, menikmati panorama pegunungan, serta merasakan suasana alam tinggi.",assets/images/39.png,"Boma Gunung Pasang Agrowisata Agrowisata Jember Afdeling Boma Gunung Pasang, Argopuro, Guplek, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153 Boma Gunung Pasang adalah lahan agrowisata di lereng Argopuro, Panti, Jember. Pengunjung dapat menjelajah kebun tanaman, menikmati panorama pegunungan, serta merasakan suasana alam tinggi.",boma gunung pasang agrowisata agrowisata jember afdeling boma gunung pasang argopuro guplek suci kec panti kabupaten jember jawa timur boma gunung pasang lahan agrowisata lereng argopuro panti jember pengunjung menjelajah kebun tanaman menikmati panorama pegunungan merasakan suasana alam tinggi,-8.0833,113.5855,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20
40,Puncak Badean,Rekreasi,Jember,"Puncak Badean, Unnamed Road, Krajan II, Badean, Kec. Bangsalsari, Kabupaten Jember, Jawa Timur 68154","Puncak Badean adalah puncak perbukitan di Badean, Bangsalsari, Jember, yang menyuguhkan panorama alam dan udara segar. Cocok untuk hiking ringan, menikmati sunrise/sunset, atau aktivitas alam terbuka.",assets/images/40.png,"Puncak Badean Rekreasi Rekreasi Jember Puncak Badean, Unnamed Road, Krajan II, Badean, Kec. Bangsalsari, Kabupaten Jember, Jawa Timur 68154 Puncak Badean adalah puncak perbukitan di Badean, Bangsalsari, Jember, yang menyuguhkan panorama alam dan udara segar. Cocok untuk hiking ringan, menikmati sunrise/sunset, atau aktivitas alam terbuka.",puncak badean rekreasi rekreasi jember puncak badean unnamed road krajan ii badean kec bangsalsari kabupaten jember jawa timur puncak badean puncak perbukitan badean bangsalsari jember menyuguhkan panorama alam udara segar cocok hiking ringan menikmati sunrise sunset aktivitas alam terbuka,-8.113,113.6067,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
41,Citra Mandiri,Rekreasi,Jember,"Jl. Projo Diharjo, Tegalbago, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191","Citra Mandiri memungkinkan area rekreasi terpadu di Arjasa dengan taman, panorama alam, dan fasilitas pengunjung yang memadai. Bisa menjadi destinasi alternatif di pusat kecamatan.",assets/images/41.png,"Citra Mandiri Rekreasi Rekreasi Jember Jl. Projo Diharjo, Tegalbago, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191 Citra Mandiri memungkinkan area rekreasi terpadu di Arjasa dengan taman, panorama alam, dan fasilitas pengunjung yang memadai. Bisa menjadi destinasi alternatif di pusat kecamatan.",citra mandiri rekreasi rekreasi jember jl projo diharjo tegalbago arjasa kec arjasa kabupaten jember jawa timur citra mandiri memungkinkan area rekreasi terpadu arjasa taman panorama alam fasilitas pengunjung memadai bisa menjadi destinasi alternatif pusat kecamatan,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified]
42,Lariszoo,Rekreasi,Jember,"Jl. Raya Kraton no 4 dsn kraton, kec. kencong, J3mber, Kabupaten Jember, Jawa Timur 68167",Lariszoo adalah kebun binatang lokal di Kencong dengan koleksi hewan ringan dan rekreasi keluarga. Tempat yang nyaman untuk orang tua dan anak menikmati interaksi satwa.,assets/images/42.png,"Lariszoo Rekreasi Rekreasi Jember Jl. Raya Kraton no 4 dsn kraton, kec. kencong, J3mber, Kabupaten Jember, Jawa Timur 68167 Lariszoo adalah kebun binatang lokal di Kencong dengan koleksi hewan ringan dan rekreasi keluarga. Tempat yang nyaman untuk orang tua dan anak menikmati interaksi satwa.",lariszoo rekreasi rekreasi jember jl raya kraton no dsn kraton kec kencong mber kabupaten jember jawa timur lariszoo kebun binatang lokal kencong koleksi hewan ringan rekreasi keluarga tempat nyaman orang tua anak menikmati interaksi satwa,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified]
43,Seger Nusantara,Rekreasi,Jember,"Prasian, Jatian, Kec. Pakusari, Kabupaten Jember, Jawa Timur 68181","Seger Nusantara adalah taman rekreasi atau space terbuka di Pakusari, Jember, yang menghadirkan elemen alam, area acara komunitas, taman lanskap, dan spot foto menarik.",assets/images/43.png,"Seger Nusantara Rekreasi Rekreasi Jember Prasian, Jatian, Kec. Pakusari, Kabupaten Jember, Jawa Timur 68181 Seger Nusantara adalah taman rekreasi atau space terbuka di Pakusari, Jember, yang menghadirkan elemen alam, area acara komunitas, taman lanskap, dan spot foto menarik.",seger nusantara rekreasi rekreasi jember prasian jatian kec pakusari kabupaten jember jawa timur seger nusantara taman rekreasi space terbuka pakusari jember menghadirkan elemen alam area acara komunitas taman lanskap spot foto menarik,-8.1367,113.7844,07:00,17:00,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20
44,Puncak SJ88,Panorama,Jember,"Gujuran B, Sucopangepok, Kec. Jelbuk, Kabupaten Jember, Jawa Timur 68192",Puncak SJ88 adalah wilayah panorama di Jelbuk yang menawarkan sudut pandang ketinggian serta suasana alam – cocok untuk melihat pemandangan kota dan langit lepas.,assets/images/44.png,"Puncak SJ88 Panorama Panorama Jember Gujuran B, Sucopangepok, Kec. Jelbuk, Kabupaten Jember, Jawa Timur 68192 Puncak SJ88 adalah wilayah panorama di Jelbuk yang menawarkan sudut pandang ketinggian serta suasana alam – cocok untuk melihat pemandangan kota dan langit lepas.",puncak sj panorama panorama jember gujuran sucopangepok kec jelbuk kabupaten jember jawa timur puncak sj wilayah panorama jelbuk menawarkan sudut pandang ketinggian suasana alam cocok melihat pemandangan kota langit lepas,-8.2435,113.7312,06:00,17:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
45,Skyland Paralayang,Panorama,Jember,"Area Hutan, Tj. Rejo, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162","Skyland Paralayang di Wuluhan menyajikan area paralayang dengan spot peluncuran, pemandangan bukit & laut, dan pengalaman udara bagi pengunjung adventure.",assets/images/45.png,"Skyland Paralayang Panorama Panorama Jember Area Hutan, Tj. Rejo, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162 Skyland Paralayang di Wuluhan menyajikan area paralayang dengan spot peluncuran, pemandangan bukit & laut, dan pengalaman udara bagi pengunjung adventure.",skyland paralayang panorama panorama jember area hutan tj rejo kec wuluhan kabupaten jember jawa timur skyland paralayang wuluhan menyajikan area paralayang spot peluncuran pemandangan bukit laut pengalaman udara pengunjung adventure,-8.3245,113.6214,07:00,17:00,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20
46,Kampung Wisata Tanoker Ledokombo,Rural Tourism,Jember,"Jl. Kantor Polisi, Simpang Tiga, Pasar, Ledokombo, Kec. Ledokombo, Kabupaten Jember, Jawa Timur 68196","Kampung Wisata Tanoker Ledokombo adalah desa wisata kreatif di Ledokombo dengan kegiatan lokal seperti kerajinan tangan, budaya, kuliner, dan interaksi komunitas lokal.",assets/images/46.png,"Kampung Wisata Tanoker Ledokombo Rural Tourism Rural Tourism Jember Jl. Kantor Polisi, Simpang Tiga, Pasar, Ledokombo, Kec. Ledokombo, Kabupaten Jember, Jawa Timur 68196 Kampung Wisata Tanoker Ledokombo adalah desa wisata kreatif di Ledokombo dengan kegiatan lokal seperti kerajinan tangan, budaya, kuliner, dan interaksi komunitas lokal.",kampung wisata tanoker ledokombo rural tourism rural tourism jember jl kantor polisi simpang tiga pasar ledokombo kec ledokombo kabupaten jember jawa timur kampung wisata tanoker ledokombo desa wisata kreatif ledokombo kegiatan lokal kerajinan tangan budaya kuliner interaksi komunitas lokal,-8.1378,113.8967,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 15.000,Situs Resmi Wisata Ledokombo,2026-07-20
47,Desa Adat Arjasa,Rural Tourism,Jember,"Jl. Rengganis No.1, Bendelan, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68121","Desa Adat Arjasa adalah pusat budaya lokal dengan rumah adat, kesenian tradisional, ritual lokal, dan kehidupan masyarakat yang mencerminkan warisan budaya Arjasa.",assets/images/47.png,"Desa Adat Arjasa Rural Tourism Rural Tourism Jember Jl. Rengganis No.1, Bendelan, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68121 Desa Adat Arjasa adalah pusat budaya lokal dengan rumah adat, kesenian tradisional, ritual lokal, dan kehidupan masyarakat yang mencerminkan warisan budaya Arjasa.",desa adat arjasa rural tourism rural tourism jember jl rengganis no bendelan arjasa kec arjasa kabupaten jember jawa timur desa adat arjasa pusat budaya lokal rumah adat kesenian tradisional ritual lokal kehidupan masyarakat mencerminkan warisan budaya arjasa,-8.1121,113.7354,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 0,Google Maps,2026-07-20
